index,date,add,district,lng,lat,date_scale,rolling_date
2341,2022-03-21,浦东新区尚博路569弄,浦东新,121.52,31.15,1.0,2022-03-27
2371,2022-03-21,浦东新区繁荣东路150弄,浦东新,121.59,31.11,1.0,2022-03-27
2377,2022-03-21,浦东新区建光村高家宅,浦东新,121.66,31.17,1.0,2022-03-27
2380,2022-03-21,浦东新区新川路922弄,浦东新,121.69,31.19,1.0,2022-03-27
2387,2022-03-21,浦东新区靖海南路567弄,浦东新,121.77,31.03,1.0,2022-03-27
2395,2022-03-21,浦东新区金豫路50弄,浦东新,121.61,31.26,1.0,2022-03-27
2401,2022-03-21,浦东新区潮乐路19弄,浦东新,121.85,30.87,1.0,2022-03-27
2402,2022-03-21,浦东新区棉场村,浦东新,121.85,30.97,1.0,2022-03-27
2409,2022-03-21,浦东新区香楠路199弄,浦东新,121.61,31.22,1.0,2022-03-27
2412,2022-03-21,浦东新区宣春路192号,浦东新,121.73,31.08,1.0,2022-03-27
2415,2022-03-21,浦东新区川沙路4000号,浦东新,121.69,31.21,1.0,2022-03-27
2417,2022-03-21,浦东新区大众村,浦东新,121.6,31.2,1.0,2022-03-27
2419,2022-03-21,浦东新区新雅路75-1号,浦东新,121.68,31.24,1.0,2022-03-27
2422,2022-03-21,浦东新区竹柏路100弄,浦东新,121.91,30.9,1.0,2022-03-27
2425,2022-03-21,浦东新区昌里东路395弄,浦东新,121.51,31.18,1.0,2022-03-27
2429,2022-03-21,浦东新区下盐路3977号,浦东新,121.72,31.07,1.0,2022-03-27
2430,2022-03-21,浦东新区新营村顾家宅,浦东新,121.75,31.2,1.0,2022-03-27
2433,2022-03-21,浦东新区北蔡大街31弄,浦东新,121.55,31.19,1.0,2022-03-27
2464,2022-03-21,黄浦区四牌楼路110号,黄浦,121.5,31.22,1.0,2022-03-27
2485,2022-03-21,静安区曲沃路373弄,静安,121.44,31.31,1.0,2022-03-27
2488,2022-03-21,静安区江宁路363弄,静安,121.45,31.23,1.0,2022-03-27
2501,2022-03-21,徐汇区桂平路67弄,徐汇,121.41,31.15,1.0,2022-03-27
2561,2022-03-21,长宁区中山西路1231号,长宁,121.42,31.19,1.0,2022-03-27
2563,2022-03-21,普陀区红柳路238弄,普陀,121.36,31.3,1.0,2022-03-27
2565,2022-03-21,普陀区同普路689弄,普陀,121.38,31.23,1.0,2022-03-27
2568,2022-03-21,普陀区绿杨路201弄,普陀,121.35,31.28,1.0,2022-03-27
2569,2022-03-21,普陀区雪松路392弄,普陀,121.36,31.29,1.0,2022-03-27
2571,2022-03-21,普陀区真南路822弄,普陀,121.38,31.28,1.0,2022-03-27
2576,2022-03-21,普陀区武宁路2525弄,普陀,121.39,31.25,1.0,2022-03-27
2580,2022-03-21,普陀区靖边路299弄,普陀,121.37,31.26,1.0,2022-03-27
2587,2022-03-21,虹口区西江湾路168号,虹口,121.48,31.27,1.0,2022-03-27
2596,2022-03-21,杨浦区佳木斯路266号,杨浦,121.54,31.3,1.0,2022-03-27
2597,2022-03-21,杨浦区中原路32弄,杨浦,121.53,31.31,1.0,2022-03-27
2602,2022-03-21,杨浦区控江东三村,杨浦,121.53,31.29,1.0,2022-03-27
2603,2022-03-21,杨浦区松花江路1160弄,杨浦,121.52,31.29,1.0,2022-03-27
2609,2022-03-21,宝山区洛场路114号,宝山,121.41,31.3,1.0,2022-03-27
2613,2022-03-21,宝山区顾北东路500弄,宝山,121.41,31.36,1.0,2022-03-27
2614,2022-03-21,宝山区锦秋路699弄,宝山,121.39,31.32,1.0,2022-03-27
2619,2022-03-21,宝山区泰和路678弄,宝山,121.49,31.37,1.0,2022-03-27
2620,2022-03-21,宝山区大康路891弄,宝山,121.42,31.33,1.0,2022-03-27
2621,2022-03-21,宝山区南东路20弄,宝山,121.36,31.38,1.0,2022-03-27
2625,2022-03-21,宝山区水产西路738号,宝山,121.42,31.36,1.0,2022-03-27
2626,2022-03-21,宝山区铁峰路2000弄,宝山,121.45,31.4,1.0,2022-03-27
2630,2022-03-21,宝山区高境二村,宝山,121.48,31.32,1.0,2022-03-27
2631,2022-03-21,宝山区美秀路558弄,宝山,121.49,31.41,1.0,2022-03-27
2638,2022-03-21,宝山区沪联路245弄,宝山,121.37,31.36,1.0,2022-03-27
2644,2022-03-21,宝山区水产西路268弄,宝山,121.43,31.36,1.0,2022-03-27
2652,2022-03-21,闵行区曹行村,闵行,121.45,31.1,1.0,2022-03-27
2663,2022-03-21,闵行区虹梅南路2555弄,闵行,121.43,31.1,1.0,2022-03-27
2670,2022-03-21,闵行区江柳路888弄,闵行,121.49,31.1,1.0,2022-03-27
2679,2022-03-21,闵行区罗锦路888弄,闵行,121.4,31.12,1.0,2022-03-27
2697,2022-03-21,闵行区俞塘村,闵行,121.38,31.03,1.0,2022-03-27
2706,2022-03-21,嘉定区安礼路255弄,嘉定,121.17,31.27,1.0,2022-03-27
2707,2022-03-21,嘉定区吴胜别墅,嘉定,121.19,31.3,1.0,2022-03-27
2720,2022-03-21,嘉定区金沙路280号,嘉定,121.26,31.39,1.0,2022-03-27
2722,2022-03-21,嘉定区爱特路89弄,嘉定,121.32,31.23,1.0,2022-03-27
2731,2022-03-21,嘉定区吴杨路100弄,嘉定,121.3,31.27,1.0,2022-03-27
2737,2022-03-21,嘉定区嘉新公路668弄,嘉定,121.27,31.36,1.0,2022-03-27
2742,2022-03-21,嘉定区宝翔路560弄,嘉定,121.32,31.31,1.0,2022-03-27
2743,2022-03-21,嘉定区澄浏中路3000号,嘉定,121.28,31.38,1.0,2022-03-27
2744,2022-03-21,嘉定区嘉松北路7222弄,嘉定,121.21,31.27,1.0,2022-03-27
2754,2022-03-21,嘉定区旺泾村,嘉定,121.19,31.42,1.0,2022-03-27
2755,2022-03-21,嘉定区雨化村,嘉定,121.18,31.42,1.0,2022-03-27
2756,2022-03-21,嘉定区外冈镇甘柏村,嘉定,121.16,31.39,1.0,2022-03-27
2757,2022-03-21,嘉定区徐行镇新潭村,嘉定,121.26,31.42,1.0,2022-03-27
2758,2022-03-21,金山区金光村,金山,121.39,30.79,1.0,2022-03-27
2759,2022-03-21,金山区众安街798弄,金山,121.16,30.89,1.0,2022-03-27
2764,2022-03-21,金山区石化四村,金山,121.34,30.72,1.0,2022-03-27
2766,2022-03-21,金山区清泉路79号,金山,121.18,30.89,1.0,2022-03-27
2767,2022-03-21,金山区枫湾路680弄,金山,121.02,30.9,1.0,2022-03-27
2768,2022-03-21,松江区庄家村,松江,121.11,31.06,1.0,2022-03-27
2769,2022-03-21,松江区广富林路600弄,松江,121.25,31.06,1.0,2022-03-27
2770,2022-03-21,松江区陈春公路555弄,松江,121.36,31.08,1.0,2022-03-27
2775,2022-03-21,松江区涞坊路288弄,松江,121.31,31.16,1.0,2022-03-27
2776,2022-03-21,松江区申港路215号,松江,121.35,31.07,1.0,2022-03-27
2777,2022-03-21,松江区陈春公路951弄,松江,121.33,31.07,1.0,2022-03-27
2779,2022-03-21,松江区雪家桥路591号,松江,121.34,31.1,1.0,2022-03-27
2783,2022-03-21,松江区汇桥村,松江,121.33,31.01,1.0,2022-03-27
2787,2022-03-21,松江区莘松路1288弄,松江,121.35,31.1,1.0,2022-03-27
2789,2022-03-21,松江区同利路133号,松江,121.31,31.11,1.0,2022-03-27
2791,2022-03-21,青浦区盈港东路4709弄,青浦,121.19,31.16,1.0,2022-03-27
2792,2022-03-21,青浦区火星村,青浦,121.25,31.22,1.0,2022-03-27
2793,2022-03-21,青浦区新联村,青浦,121.18,31.2,1.0,2022-03-27
2794,2022-03-21,青浦区白虬江路100号,青浦,121.14,31.28,1.0,2022-03-27
2795,2022-03-21,奉贤区吴房村,奉贤,121.54,30.89,1.0,2022-03-27
2796,2022-03-21,奉贤区海马路5888弄,奉贤,121.51,30.82,1.0,2022-03-27
2803,2022-03-21,奉贤区二桥村,奉贤,121.65,30.96,1.0,2022-03-27
2804,2022-03-21,奉贤区四新街50弄,奉贤,121.72,30.94,1.0,2022-03-27
2805,2022-03-21,奉贤区灯塔村,奉贤,121.42,30.98,1.0,2022-03-27
2808,2022-03-21,崇明区八滧村,崇明,121.76,31.48,1.0,2022-03-27
2818,2022-03-22,浦东新区长元村沈家宅,浦东新,121.65,31.17,2.0,2022-03-27
2822,2022-03-22,浦东新区果园银杏村,浦东新,121.56,31.2,2.0,2022-03-27
2833,2022-03-22,浦东新区浦东大道1585弄,浦东新,121.54,31.25,2.0,2022-03-27
2843,2022-03-22,浦东新区海阳路1065弄,浦东新,121.51,31.16,2.0,2022-03-27
2844,2022-03-22,浦东新区丁香路1299弄,浦东新,121.57,31.23,2.0,2022-03-27
2848,2022-03-22,浦东新区东绣路1086弄,浦东新,121.53,31.2,2.0,2022-03-27
2853,2022-03-22,浦东新区康弘路508弄,浦东新,121.6,31.12,2.0,2022-03-27
2856,2022-03-22,浦东新区新雅东路51弄,浦东新,121.69,31.24,2.0,2022-03-27
2859,2022-03-22,浦东新区中界村周家宅,浦东新,121.57,31.19,2.0,2022-03-27
2860,2022-03-22,浦东新区中界村庄家队蔡家宅,浦东新,121.8,31.08,2.0,2022-03-27
2863,2022-03-22,浦东新区三彩路52弄,浦东新,121.5,31.12,2.0,2022-03-27
2866,2022-03-22,浦东新区瑞浦路77弄,浦东新,121.59,31.1,2.0,2022-03-27
2875,2022-03-22,浦东新区周康路868弄,浦东新,121.57,31.1,2.0,2022-03-27
2876,2022-03-22,浦东新区秀龙村,浦东新,121.56,31.13,2.0,2022-03-27
2882,2022-03-22,浦东新区御衡路68弄,浦东新,121.58,31.16,2.0,2022-03-27
2883,2022-03-22,浦东新区阳光二村,浦东新,121.55,31.25,2.0,2022-03-27
2885,2022-03-22,浦东新区花墙村,浦东新,121.55,31.15,2.0,2022-03-27
2890,2022-03-22,浦东新区华夏东路858弄,浦东新,121.66,31.19,2.0,2022-03-27
2891,2022-03-22,浦东新区杨高南路3288弄,浦东新,121.52,31.17,2.0,2022-03-27
2894,2022-03-22,浦东新区玉盘北路281弄,浦东新,121.68,31.22,2.0,2022-03-27
2895,2022-03-22,浦东新区唐四村黄家东宅,浦东新,121.67,31.22,2.0,2022-03-27
2900,2022-03-22,浦东新区御北路385号,浦东新,121.56,31.16,2.0,2022-03-27
2911,2022-03-22,浦东新区天花庵村卫家队,浦东新,121.53,31.13,2.0,2022-03-27
2924,2022-03-22,浦东新区金高路1051弄,浦东新,121.61,31.28,2.0,2022-03-27
2944,2022-03-22,浦东新区御山路360号,浦东新,121.57,31.16,2.0,2022-03-27
2945,2022-03-22,浦东新区银峰路549弄,浦东新,121.69,31.27,2.0,2022-03-27
2946,2022-03-22,浦东新区民同路176弄,浦东新,121.65,31.27,2.0,2022-03-27
2949,2022-03-22,浦东新区华夏西路5778号,浦东新,121.58,31.17,2.0,2022-03-27
2950,2022-03-22,浦东新区和平村朱家宅,浦东新,121.84,30.99,2.0,2022-03-27
2953,2022-03-22,浦东新区新振村,浦东新,121.83,30.94,2.0,2022-03-27
2954,2022-03-22,浦东新区永宁东路540弄,浦东新,121.74,30.97,2.0,2022-03-27
2999,2022-03-22,静安区场中路1011弄,静安,121.47,31.31,2.0,2022-03-27
3012,2022-03-22,静安区会文路3号,静安,121.47,31.25,2.0,2022-03-27
3024,2022-03-22,徐汇区大木桥路599弄,徐汇,121.47,31.19,2.0,2022-03-27
3040,2022-03-22,徐汇区宾南路36弄,徐汇,121.44,31.16,2.0,2022-03-27
3060,2022-03-22,长宁区娄山关路988号,长宁,121.41,31.22,2.0,2022-03-27
3075,2022-03-22,普陀区真南路1111号,普陀,121.38,31.27,2.0,2022-03-27
3085,2022-03-22,普陀区金迈路358弄,普陀,121.33,31.29,2.0,2022-03-27
3090,2022-03-22,虹口区运光路71弄,虹口,121.49,31.29,2.0,2022-03-27
3099,2022-03-22,杨浦区国权北路1450弄,杨浦,121.5,31.34,2.0,2022-03-27
3101,2022-03-22,宝山区城银路655弄,宝山,121.35,31.31,2.0,2022-03-27
3103,2022-03-22,宝山区宝荻路535弄,宝山,121.4,31.36,2.0,2022-03-27
3104,2022-03-22,宝山区白杨村,宝山,121.4,31.34,2.0,2022-03-27
3109,2022-03-22,宝山区沙浦路518弄,宝山,121.38,31.36,2.0,2022-03-27
3111,2022-03-22,宝山区陈家行村,宝山,121.35,31.33,2.0,2022-03-27
3116,2022-03-22,闵行区碧江路401弄,闵行,121.4,31.01,2.0,2022-03-27
3118,2022-03-22,闵行区曹中村,闵行,121.43,31.09,2.0,2022-03-27
3121,2022-03-22,闵行区东川路500号,闵行,121.45,31.03,2.0,2022-03-27
3128,2022-03-22,闵行区顾戴路1325弄,闵行,121.38,31.14,2.0,2022-03-27
3129,2022-03-22,闵行区光继村,闵行,121.53,31.0,2.0,2022-03-27
3130,2022-03-22,闵行区虹井路618弄,闵行,121.37,31.18,2.0,2022-03-27
3136,2022-03-22,闵行区虹中路480弄,闵行,121.38,31.19,2.0,2022-03-27
3138,2022-03-22,闵行区沪闵路3131弄,闵行,121.41,31.05,2.0,2022-03-27
3139,2022-03-22,闵行区汇东村,闵行,121.56,31.02,2.0,2022-03-27
3161,2022-03-22,闵行区芦胜村,闵行,121.48,31.11,2.0,2022-03-27
3167,2022-03-22,闵行区闵驰一路197弄,闵行,121.54,31.04,2.0,2022-03-27
3168,2022-03-22,闵行区瓶北路479弄,闵行,121.4,31.05,2.0,2022-03-27
3169,2022-03-22,闵行区浦驰南路238弄,闵行,121.51,31.07,2.0,2022-03-27
3175,2022-03-22,闵行区七莘路1818弄,闵行,121.36,31.14,2.0,2022-03-27
3176,2022-03-22,闵行区瑞丽路61弄,闵行,121.41,31.0,2.0,2022-03-27
3182,2022-03-22,闵行区尚义路229弄,闵行,121.45,31.04,2.0,2022-03-27
3183,2022-03-22,闵行区申滨路1058弄,闵行,121.31,31.21,2.0,2022-03-27
3186,2022-03-22,闵行区疏影路1111弄,闵行,121.36,31.12,2.0,2022-03-27
3189,2022-03-22,闵行区水清路1100弄,闵行,121.38,31.13,2.0,2022-03-27
3190,2022-03-22,闵行区塘口村,闵行,121.48,31.09,2.0,2022-03-27
3191,2022-03-22,闵行区塘湾村,闵行,121.44,31.06,2.0,2022-03-27
3199,2022-03-22,闵行区新龙路1111弄,闵行,121.34,31.15,2.0,2022-03-27
3209,2022-03-22,闵行区银林路1002弄,闵行,121.37,31.02,2.0,2022-03-27
3213,2022-03-22,闵行区永颂路299弄,闵行,121.5,31.02,2.0,2022-03-27
3217,2022-03-22,闵行区紫光路801弄,闵行,121.46,31.01,2.0,2022-03-27
3218,2022-03-22,嘉定区安虹路299弄,嘉定,121.2,31.28,2.0,2022-03-27
3222,2022-03-22,嘉定区高台路560弄,嘉定,121.25,31.35,2.0,2022-03-27
3223,2022-03-22,嘉定区恒飞路488弄,嘉定,121.16,31.37,2.0,2022-03-27
3227,2022-03-22,嘉定区嘉唐公路626号,嘉定,121.24,31.41,2.0,2022-03-27
3241,2022-03-22,嘉定区安亭镇老宅村,嘉定,121.23,31.29,2.0,2022-03-27
3243,2022-03-22,嘉定区徐行镇徐行村,嘉定,121.27,31.42,2.0,2022-03-27
3248,2022-03-22,松江区影振路299弄,松江,121.31,31.01,2.0,2022-03-27
3253,2022-03-22,松江区涞亭北路600弄,松江,121.33,31.16,2.0,2022-03-27
3255,2022-03-22,松江区崇南公路599弄,松江,121.14,31.03,2.0,2022-03-27
3257,2022-03-22,松江区盛龙路817号,松江,121.31,31.12,2.0,2022-03-27
3264,2022-03-22,青浦区赵巷村,青浦,121.19,31.15,2.0,2022-03-27
3265,2022-03-22,青浦区赵华路89弄,青浦,121.21,31.15,2.0,2022-03-27
3266,2022-03-22,青浦区育才路42弄,青浦,121.27,31.17,2.0,2022-03-27
3269,2022-03-22,青浦区外青松公路6161弄,青浦,121.12,31.2,2.0,2022-03-27
3270,2022-03-22,青浦区华腾路555弄,青浦,121.2,31.23,2.0,2022-03-27
3272,2022-03-22,青浦区光联村,青浦,121.32,31.17,2.0,2022-03-27
3276,2022-03-22,奉贤区新奉公路6328号,奉贤,121.64,30.92,2.0,2022-03-27
3277,2022-03-22,奉贤区海滨新一村,奉贤,121.57,30.86,2.0,2022-03-27
3280,2022-03-22,崇明区四滧村,崇明,121.66,31.53,2.0,2022-03-27
3281,2022-03-22,崇明区小漾村,崇明,121.66,31.55,2.0,2022-03-27
3301,2022-03-23,浦东新区横桥村,浦东新,121.58,31.1,3.0,2022-03-27
3314,2022-03-23,浦东新区环桥路1137弄,浦东新,121.6,31.14,3.0,2022-03-27
3315,2022-03-23,浦东新区仁怡苑,浦东新,121.54,31.22,3.0,2022-03-27
3323,2022-03-23,浦东新区长泰东郊御园,浦东新,121.59,31.02,3.0,2022-03-27
3330,2022-03-23,浦东新区奥纳路158号,浦东新,121.6,31.35,3.0,2022-03-27
3337,2022-03-23,浦东新区秀沿西路68弄,浦东新,121.54,31.13,3.0,2022-03-27
3344,2022-03-23,浦东新区行南路1150弄,浦东新,121.58,31.33,3.0,2022-03-27
3356,2022-03-23,浦东新区杨新路197弄,浦东新,121.49,31.16,3.0,2022-03-27
3364,2022-03-23,浦东新区夏栎路233弄,浦东新,121.91,30.91,3.0,2022-03-27
3365,2022-03-23,浦东新区懿德村小陈家队,浦东新,121.52,31.12,3.0,2022-03-27
3367,2022-03-23,浦东新区庭安路825弄,浦东新,121.6,31.33,3.0,2022-03-27
3369,2022-03-23,浦东新区南阜村高树队油车头,浦东新,121.52,31.13,3.0,2022-03-27
3370,2022-03-23,浦东新区环林东路879弄,浦东新,121.53,31.14,3.0,2022-03-27
3382,2022-03-23,浦东新区启帆路321号,浦东新,121.58,31.31,3.0,2022-03-27
3392,2022-03-23,浦东新区上南路6620弄,浦东新,121.55,31.12,3.0,2022-03-27
3394,2022-03-23,浦东新区沪南路3161弄,浦东新,121.57,31.13,3.0,2022-03-27
3396,2022-03-23,浦东新区康新公路88号,浦东新,121.61,31.14,3.0,2022-03-27
3400,2022-03-23,浦东新区三林镇小金家宅,浦东新,121.48,31.12,3.0,2022-03-27
3402,2022-03-23,浦东新区浦电路489号,浦东新,121.53,31.22,3.0,2022-03-27
3415,2022-03-23,浦东新区云舒苑,浦东新,121.73,31.23,3.0,2022-03-27
3419,2022-03-23,浦东新区昌里东路190弄,浦东新,121.51,31.17,3.0,2022-03-27
3461,2022-03-23,静安区平顺路790弄,静安,121.45,31.32,3.0,2022-03-27
3463,2022-03-23,静安区愚园路611弄,静安,121.44,31.22,3.0,2022-03-27
3530,2022-03-23,普陀区江宁路1415弄,普陀,121.44,31.25,3.0,2022-03-27
3556,2022-03-23,杨浦区国和二村,杨浦,121.53,31.32,3.0,2022-03-27
3558,2022-03-23,杨浦区许昌路630弄,杨浦,121.52,31.26,3.0,2022-03-27
3567,2022-03-23,宝山区纬地路375弄,宝山,121.4,31.33,3.0,2022-03-27
3571,2022-03-23,宝山区南周村,宝山,121.34,31.38,3.0,2022-03-27
3574,2022-03-23,宝山区松兰路233弄,宝山,121.44,31.38,3.0,2022-03-27
3576,2022-03-23,宝山区年吉路220弄,宝山,121.34,31.4,3.0,2022-03-27
3582,2022-03-23,宝山区沪太路5018号,宝山,121.38,31.35,3.0,2022-03-27
3585,2022-03-23,宝山区美丹路998弄,宝山,121.35,31.4,3.0,2022-03-27
3594,2022-03-23,宝山区南蕰藻路408号,宝山,121.43,31.34,3.0,2022-03-27
3596,2022-03-23,宝山区段泾村,宝山,121.4,31.42,3.0,2022-03-27
3598,2022-03-23,宝山区丰翔路1888弄,宝山,121.36,31.31,3.0,2022-03-27
3612,2022-03-23,嘉定区兴荣路811号,嘉定,121.2,31.43,3.0,2022-03-27
3615,2022-03-23,嘉定区曹安公路1615号,嘉定,121.37,31.25,3.0,2022-03-27
3619,2022-03-23,嘉定区海波路850弄,嘉定,121.31,31.27,3.0,2022-03-27
3621,2022-03-23,嘉定区华江公路370号,嘉定,121.34,31.25,3.0,2022-03-27
3622,2022-03-23,嘉定区金耀南路299弄,嘉定,121.31,31.24,3.0,2022-03-27
3628,2022-03-23,嘉定区嘉安公路1735号,嘉定,121.21,31.35,3.0,2022-03-27
3632,2022-03-23,嘉定区双坪路285弄,嘉定,121.27,31.41,3.0,2022-03-27
3633,2022-03-23,嘉定区双单路718弄,嘉定,121.26,31.33,3.0,2022-03-27
3634,2022-03-23,嘉定区槎溪路650弄,嘉定,121.32,31.29,3.0,2022-03-27
3638,2022-03-23,金山区金磐路18号,金山,121.34,30.74,3.0,2022-03-27
3640,2022-03-23,松江区明南路279号,松江,121.27,31.04,3.0,2022-03-27
3643,2022-03-23,松江区泗祥路518弄,松江,121.25,31.13,3.0,2022-03-27
3646,2022-03-23,松江区玉树路1265号,松江,121.21,30.99,3.0,2022-03-27
3651,2022-03-23,松江区米筛浜路325弄,松江,121.25,31.1,3.0,2022-03-27
3653,2022-03-23,松江区徐塘路500号,松江,121.27,31.05,3.0,2022-03-27
3658,2022-03-23,松江区九新公路28弄,松江,121.32,31.13,3.0,2022-03-27
3661,2022-03-23,松江区九亭大街854号,松江,121.31,31.13,3.0,2022-03-27
3668,2022-03-23,青浦区白虬江路300号,青浦,121.13,31.28,3.0,2022-03-27
3670,2022-03-23,青浦区沈巷村,青浦,121.06,31.08,3.0,2022-03-27
3673,2022-03-23,奉贤区益民村（西渡街道）,奉贤,121.48,30.98,3.0,2022-03-27
3674,2022-03-23,奉贤区五四公路3356号,奉贤,121.7,30.87,3.0,2022-03-27
3675,2022-03-23,奉贤区环城南路1128弄,奉贤,121.45,30.9,3.0,2022-03-27
3676,2022-03-23,奉贤区新叶村,奉贤,121.38,30.96,3.0,2022-03-27
3677,2022-03-23,奉贤区南奉公路2645弄,奉贤,121.59,30.92,3.0,2022-03-27
3683,2022-03-23,崇明区米行村,崇明,121.7,31.53,3.0,2022-03-27
3684,2022-03-23,崇明区瀛南村,崇明,121.67,31.52,3.0,2022-03-27
3686,2022-03-23,崇明区齐南村,崇明,121.75,31.58,3.0,2022-03-27
3692,2022-03-24,浦东新区东海二村,浦东新,121.9,30.95,4.0,2022-03-27
3694,2022-03-24,浦东新区浦明路868弄,浦东新,121.51,31.22,4.0,2022-03-27
3707,2022-03-24,浦东新区祝桥村一灶,浦东新,121.76,31.1,4.0,2022-03-27
3708,2022-03-24,浦东新区新南村曹桥,浦东新,121.63,31.0,4.0,2022-03-27
3709,2022-03-24,浦东新区张杨北路5428弄,浦东新,121.58,31.34,4.0,2022-03-27
3710,2022-03-24,浦东新区关岳路181弄,浦东新,121.59,31.12,4.0,2022-03-27
3712,2022-03-24,浦东新区沈庄村,浦东新,121.58,31.09,4.0,2022-03-27
3779,2022-03-24,静安区柳营路309弄,静安,121.46,31.27,4.0,2022-03-27
3828,2022-03-24,徐汇区肇嘉浜路669弄,徐汇,121.45,31.2,4.0,2022-03-27
3862,2022-03-24,徐汇区丰谷路285弄,徐汇,121.46,31.17,4.0,2022-03-27
3864,2022-03-24,徐汇区龙南三村,徐汇,121.46,31.16,4.0,2022-03-27
3926,2022-03-24,普陀区清涧路39弄,普陀,121.39,31.26,4.0,2022-03-27
3969,2022-03-24,杨浦区抚顺路393弄,杨浦,121.51,31.28,4.0,2022-03-27
3972,2022-03-24,杨浦区军工路殷行路铁道停车场,杨浦,121.55,31.33,4.0,2022-03-27
3978,2022-03-24,杨浦区市光二村,杨浦,121.54,31.32,4.0,2022-03-27
3979,2022-03-24,杨浦区市京一村,杨浦,121.52,31.32,4.0,2022-03-27
3980,2022-03-24,宝山区宝安公路2195号,宝山,121.34,31.35,4.0,2022-03-27
3983,2022-03-24,宝山区大沙宅,宝山,121.34,31.33,4.0,2022-03-27
3994,2022-03-24,宝山区佳龙路516号,宝山,121.38,31.34,4.0,2022-03-27
3999,2022-03-24,宝山区菊盛路1158弄,宝山,121.37,31.37,4.0,2022-03-27
4007,2022-03-24,宝山区菊太路1399弄,宝山,121.35,31.35,4.0,2022-03-27
4013,2022-03-24,宝山区泰和路1700号,宝山,121.45,31.35,4.0,2022-03-27
4017,2022-03-24,宝山区通河四村,宝山,121.45,31.33,4.0,2022-03-27
4022,2022-03-24,宝山区通南路328弄,宝山,121.47,31.33,4.0,2022-03-27
4044,2022-03-24,闵行区灯辉路1169弄,闵行,121.42,31.03,4.0,2022-03-27
4048,2022-03-24,闵行区东兰路307弄,闵行,121.39,31.15,4.0,2022-03-27
4050,2022-03-24,闵行区都市路1900弄,闵行,121.41,31.06,4.0,2022-03-27
4060,2022-03-24,闵行区红松路81弄,闵行,121.38,31.18,4.0,2022-03-27
4082,2022-03-24,闵行区江文路330弄,闵行,121.54,31.06,4.0,2022-03-27
4106,2022-03-24,闵行区七莘路3885弄,闵行,121.34,31.17,4.0,2022-03-27
4115,2022-03-24,闵行区先进村,闵行,121.53,31.04,4.0,2022-03-27
4122,2022-03-24,闵行区宜山路2328弄,闵行,121.38,31.17,4.0,2022-03-27
4132,2022-03-24,闵行区友好村,闵行,121.39,31.0,4.0,2022-03-27
4134,2022-03-24,闵行区跃进村,闵行,121.5,31.05,4.0,2022-03-27
4137,2022-03-24,闵行区颛兴路639弄,闵行,121.39,31.06,4.0,2022-03-27
4146,2022-03-24,闵行区古龙路1065弄,闵行,121.38,31.15,4.0,2022-03-27
4178,2022-03-24,嘉定区沪宜公路3066弄,嘉定,121.26,31.37,4.0,2022-03-27
4180,2022-03-24,嘉定区宝乐路58弄,嘉定,121.29,31.33,4.0,2022-03-27
4202,2022-03-24,嘉定区嘉戬公路658弄,嘉定,121.29,31.38,4.0,2022-03-27
4211,2022-03-24,嘉定区菊城路311号,嘉定,121.22,31.35,4.0,2022-03-27
4224,2022-03-24,嘉定区旺泾公路218号,嘉定,121.18,31.41,4.0,2022-03-27
4226,2022-03-24,嘉定区希望路1333弄,嘉定,121.25,31.33,4.0,2022-03-27
4235,2022-03-24,嘉定区徐行镇伏虎村,嘉定,121.26,31.45,4.0,2022-03-27
4238,2022-03-24,金山区康德路358弄,金山,121.3,30.8,4.0,2022-03-27
4240,2022-03-24,金山区卫宏路500号,金山,121.3,30.73,4.0,2022-03-27
4241,2022-03-24,金山区马新村新浜,金山,121.17,30.83,4.0,2022-03-27
4242,2022-03-24,金山区石化九村,金山,121.35,30.71,4.0,2022-03-27
4244,2022-03-24,松江区场南路1弄,松江,121.36,31.09,4.0,2022-03-27
4245,2022-03-24,松江区车亭公路1142号,松江,121.32,30.96,4.0,2022-03-27
4246,2022-03-24,松江区陈春公路801弄,松江,121.34,31.07,4.0,2022-03-27
4250,2022-03-24,松江区沪松路7弄,松江,121.24,31.01,4.0,2022-03-27
4253,2022-03-24,松江区沪亭南路299弄,松江,121.33,31.12,4.0,2022-03-27
4264,2022-03-24,松江区涞坊路45号,松江,121.32,31.16,4.0,2022-03-27
4268,2022-03-24,松江区涞亭南路289弄,松江,121.34,31.14,4.0,2022-03-27
4272,2022-03-24,松江区乐都西路1629弄,松江,121.19,31.01,4.0,2022-03-27
4276,2022-03-24,松江区书林路600号,松江,121.31,31.04,4.0,2022-03-27
4279,2022-03-24,松江区长兴路390弄,松江,121.27,31.08,4.0,2022-03-27
4280,2022-03-24,松江区中心路120号,松江,121.33,31.1,4.0,2022-03-27
4284,2022-03-24,青浦区新府北路45弄,青浦,121.23,31.24,4.0,2022-03-27
4285,2022-03-24,青浦区崧泽大道333号停车场,青浦,121.3,31.19,4.0,2022-03-27
4286,2022-03-24,青浦区章堰村,青浦,121.16,31.22,4.0,2022-03-27
4290,2022-03-24,奉贤区安中路108号,奉贤,121.4,30.96,4.0,2022-03-27
4294,2022-03-24,奉贤区南奉公路999号,奉贤,121.62,30.91,4.0,2022-03-27
4295,2022-03-24,奉贤区陆家桥村,奉贤,121.63,30.96,4.0,2022-03-27
4296,2022-03-24,奉贤区汇中路116号,奉贤,121.47,30.99,4.0,2022-03-27
